Linux 6.18.5-100.fc42.x86_64 (midu-thinkpadp16vgen1.rmtat.csb) 	01/23/2026 	_x86_64_	(16 CPU)

04:18:11 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:18:24 PM   14    1.01    0.00   14.14    0.00    0.00   81.82    0.00    0.00    0.00    3.03
04:18:24 PM   15    0.99    0.00   14.85    0.00    0.99   79.21    0.00    0.00    0.00    3.96

04:18:24 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:18:25 PM  all    7.53    0.00   14.69    0.00    0.62   74.16    0.00    0.00    0.00    2.99
04:18:25 PM    0    7.92    0.00   14.85    0.00    0.00   75.25    0.00    0.00    0.00    1.98
04:18:25 PM    1    2.97    0.00   14.85    0.00    0.00   78.22    0.00    0.00    0.00    3.96
04:18:25 PM    2    2.00    0.00   16.00    0.00    0.00   80.00    0.00    0.00    0.00    2.00
04:18:25 PM    3    1.00    0.00   15.00    0.00    1.00   80.00    0.00    0.00    0.00    3.00
04:18:25 PM    4    1.01    0.00   15.15    0.00    0.00   79.80    0.00    0.00    0.00    4.04
04:18:25 PM    5   17.82    0.00   11.88    0.00    0.99   65.35    0.00    0.00    0.00    3.96
04:18:25 PM    6    2.94    0.00   15.69    0.00    0.98   76.47    0.00    0.00    0.00    3.92
04:18:25 PM    7   30.69    0.00   10.89    0.00    0.99   55.45    0.00    0.00    0.00    1.98
04:18:25 PM    8    2.02    0.00   15.15    0.00    1.01   79.80    0.00    0.00    0.00    2.02
04:18:25 PM    9    1.00    0.00   21.00    0.00    0.00   75.00    0.00    0.00    0.00    3.00
04:18:25 PM   10   20.79    0.00   12.87    0.00    0.99   61.39    0.00    0.00    0.00    3.96
04:18:25 PM   11    1.02    0.00   15.31    0.00    0.00   81.63    0.00    0.00    0.00    2.04
04:18:25 PM   12    7.92    0.00   14.85    0.00    0.99   72.28    0.00    0.00    0.00    3.96
04:18:25 PM   13   17.82    0.00   13.86    0.00    0.99   64.36    0.00    0.00    0.00    2.97
04:18:25 PM   14    1.98    0.00   13.86    0.00    0.99   81.19    0.00    0.00    0.00    1.98
04:18:25 PM   15    1.00    0.00   14.00    0.00    1.00   81.00    0.00    0.00    0.00    3.00

04:18:25 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:18:26 PM  all    7.70    0.06   14.21    0.00    0.38   74.39    0.00    0.00    0.00    3.26
04:18:26 PM    0    1.00    0.00   14.00    0.00    1.00   79.00    0.00    0.00    0.00    5.00
04:18:26 PM    1    1.00    0.00   14.00    0.00    1.00   81.00    0.00    0.00    0.00    3.00
04:18:26 PM    2    0.99    0.99   13.86    0.00    0.99   78.22    0.00    0.00    0.00    4.95
